"","Samples","SHANNON","SIMPSON"
"1","B_2_1",4.29015910289165,0.976432816850845
"2","B_2_2",4.32750599982867,0.977627770762985
"3","B_2_3",4.23119079215364,0.973339373590216
"4","B_3_2",4.26790956492336,0.975851974687174
"5","B_3_3",4.24417404321509,0.975067059918662
"6","B_4_1",4.36887950102955,0.976854835815993
"7","B_4_2",4.27120369928072,0.972370237252659
"8","B_4_3",4.29344879522468,0.97524985802773
"9","B_5_1",4.2566040713858,0.975798924456705
"10","B_5_3",4.16913815542332,0.970526037235664
"11","B_6_1",4.15999755427267,0.972810179076112
"12","B_6_2",4.28292601718442,0.976046078640543
"13","B_6_3",4.25183288867265,0.973260459443817
"14","B_7_1",4.32656971711102,0.976688866206781
"15","B_7_2",4.36705001773524,0.978003296572075
"16","B_7_3",4.37029563775064,0.978383974292557
"17","B_8_1",3.91434448323519,0.959551494168459
"18","B_8_2",4.20226665430288,0.973832403237823
"19","B_8_3",4.19497720005037,0.97166878902938
"20","B_9_1",4.18626467542014,0.971482902354464
"21","B_9_2",4.11750100793144,0.969607805064129
"22","B_9_3",4.14374094481006,0.968316590313796
"23","R_2_1",4.22924532167379,0.976008311862469
"24","R_2_2",4.15608077320311,0.972374733054311
"25","R_2_3",4.22118069850006,0.97652080106042
"26","R_3_1",4.23853041667102,0.975700983752225
"27","R_3_2",4.18361851497923,0.973895305695513
"28","R_3_3",4.21837036814588,0.973996611371623
"29","R_4_1",4.18763559826415,0.973653871478689
"30","R_4_2",4.18720186047959,0.973715751605672
"31","R_4_3",4.3088240848327,0.977780223372963
"32","R_5_1",4.17765794690325,0.973351047424745
"33","R_5_2",4.16559445188718,0.972082589382248
"34","R_5_3",4.16848696937753,0.973439111587355
"35","R_6_1",4.19306323725684,0.974506408623842
"36","R_6_2",4.34588570293307,0.977130263002185
"37","R_6_3",4.21797076291929,0.975440531075283
"38","R_7_1",4.23339869027076,0.97569818839978
"39","R_7_2",4.26629957954015,0.97657118041047
"40","R_7_3",4.26606958480011,0.975968002071262
"41","R_8_1",4.15568158105229,0.971591101184992
"42","R_8_2",4.11815306156152,0.972468325873119
"43","R_8_3",4.2102192293612,0.974262393748267
"44","R_9_1",4.18516198650863,0.973191937063983
"45","R_9_2",4.15787375094629,0.971180642655594
"46","R_9_3",4.18789555544423,0.974038874192601
