"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","R_2_1",2.30339565604469,0.878590456731713,25,25
"2","R_2_2",2.25123371461528,0.868883426893311,23,23
"3","R_2_3",2.25394764829713,0.865049389532585,26,26
"4","R_3_1",2.37585841199482,0.88308726652058,30,30
"5","R_3_2",2.27862910763857,0.869039262205043,25,25
"6","R_3_3",2.35407272767329,0.881411698144369,27,27
"7","R_4_1",2.26505449888949,0.869112603427153,27.5,27.25
"8","R_4_2",2.25954173451605,0.862266523145366,30.125,30.2857142857143
"9","R_4_3",2.25879833405977,0.860390165090128,28,28
"10","R_5_1",2.1766481694642,0.844601363665246,26,26
"11","R_5_2",2.23721086994314,0.856006611476388,24,24
"12","R_5_3",2.24637637022137,0.861058413188684,30,30
"13","R_6_1",2.27114074127111,0.873825280457226,24,24
"14","R_6_2",2.28249374712244,0.872376406959212,29,29
"15","R_6_3",2.21270860916967,0.857700241660942,28,28
"16","R_7_1",2.25077327447921,0.866783435202109,26,26
"17","R_7_2",2.21333813800605,0.861281761529405,26,26
"18","R_7_3",2.29489540797055,0.876988314198528,29.5,29.1904761904762
"19","R_8_1",2.23037278231639,0.860791770618788,26,26
"20","R_8_2",2.25175585715699,0.8660956120256,22,22
"21","R_8_3",2.2194327101555,0.861425696378629,26,26
"22","R_9_1",2.27276210561801,0.866615075181707,24,24
"23","R_9_2",2.27178009472557,0.86696853491919,27,27
"24","R_9_3",2.15771164898736,0.850428755197769,25.5,25.1707317073171
