"","Samples","SHANNON","SIMPSON","chao1","ACE"
"1","B_2_1",0.694413292555653,0.477401063095149,5,5
"2","B_2_2",0.654978628630011,0.425175067069075,5,5
"3","B_3_2",0.591150495066125,0.383875974054952,3,3
"4","B_3_3",0.645379767676074,0.405530420981626,5,5
"5","B_4_1",0.661042025098825,0.449976159590508,5,5
"6","B_4_2",0.607333737730493,0.404851529150471,6,6.5
"7","B_4_3",0.518939066818043,0.324291232599297,5,5.4
"8","B_5_2",0.590236291202592,0.389015550799399,6,6
"9","B_5_3",0.570647670236095,0.373677368056916,5,5
"10","B_6_1",0.601803540396687,0.38350178924492,5,5
"11","B_6_2",0.556537522917414,0.348292020087573,3,3
"12","B_6_3",0.673070863606609,0.446100075514034,5,5
"13","B_7_1",0.640359591735623,0.431334081093012,5,5
"14","B_7_2",0.580633145821,0.378914079738539,5,5
"15","B_8_1",0.67554610540787,0.462188461264419,5,5.66666666666667
"16","B_8_2",0.500319651360807,0.289593785802231,4,4
"17","B_8_3",0.502953943582274,0.309372651847571,5,5
"18","B_9_1",0.671327647834738,0.446571064562182,6,6.375
"19","B_9_2",0.544038096518032,0.320511441421103,5,5
"20","R_2_1",0.62733696985223,0.406433105685478,4,4
"21","R_2_2",0.588804792770573,0.363576758480727,5,5
"22","R_2_3",0.622484165517452,0.412832500852788,4,4
"23","R_3_1",0.694474953362856,0.438073256867256,4,4
"24","R_3_2",0.56196358667865,0.352652260096991,6,6
"25","R_3_3",0.718140474058344,0.4846602048923,4,4
"26","R_4_1",0.620946965895427,0.391655515751213,5,5
"27","R_4_2",0.600633228653303,0.394969928124633,4,4
"28","R_4_3",0.51624370367416,0.322256115401435,4,4
"29","R_5_1",0.493861866547148,0.303894335604315,5.5,6.75
"30","R_5_2",0.714911716760903,0.474080994832921,6.5,7.75
"31","R_5_3",0.686002968903893,0.471356254437512,7,6.75
"32","R_6_1",0.555975546964781,0.349916566912972,5,5
"33","R_6_2",0.599532805675539,0.374562265963214,5,5
"34","R_6_3",0.563626939158974,0.366848578668835,5,5
"35","R_7_1",0.465602638751197,0.283521956983451,4,4
"36","R_7_2",0.500100892256388,0.30563744974396,4,4
"37","R_7_3",0.553997749390058,0.361407327741569,6.5,6.6
"38","R_8_1",0.493917747265209,0.28996829013674,5,5.4
"39","R_8_2",0.488174289003135,0.292673430342496,5,5
"40","R_8_3",0.489558185473434,0.301174219460341,5,5
"41","R_9_1",0.472201697206476,0.285259003549787,5,5.66666666666667
"42","R_9_2",0.621959600102033,0.37597182760228,5,5.66666666666667
"43","R_9_3",0.426263448942226,0.252171707703352,5,5
